E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11
3.983600315871067,4.0558409620653855,4.0346099575464205,4.037887896605115,4.023873932396832,4.471681380647508,4.791951524159452,4.9901477597454456,4.998340650168352,4.849525076177216,4.989612290078773,4.985491677765388
4.42397898438599,4.99788899411389,4.999211117590525,4.998757662384415,4.999303018733021,4.996275465798698,4.997483881018329,4.991221851819275,4.99918067929068,4.96330778722135,4.997409207387955,4.995575566926836
3.926934559835222,4.0453040522815975,4.081377339682141,4.040447142189986,4.113356584963285,4.598281780957107,4.955963739247764,4.950779430203212,4.9975236629793685,4.57959217645317,4.989165228188148,4.977529845639014
3.462280912909284,4.009948159468165,4.025615206200525,4.040143378998277,4.086409980967336,4.49356572615301,3.9819683215475377,3.97170420054352,4.002371763294579,3.5613964426515983,4.0104041301230335,4.015839824540874
3.955747216074768,4.180970122820559,4.184905240267831,4.081180009475967,4.137516509014585,4.741629837398879,4.961672239996994,4.957197492670012,4.997373956171373,4.7384099114268965,4.989760365270621,4.98015474399865
4.155161202265942,4.053108257980663,4.028163706050216,4.040747285021552,4.079999062190905,4.638416447420917,4.970044599129391,4.960199715782656,4.997413989771177,4.63474640707645,4.991985520681437,4.979713022771372
4.166548176067178,4.1108503741449205,4.056968031717602,4.1185350069972735,4.086199822744985,4.8461052844592585,4.974200806870464,4.967311836956463,4.9974147846584565,4.727896921032911,4.990108145340561,4.978097902780921
3.867483922006071,4.112113733974473,4.106900942793885,4.108061667505062,4.112582255592294,4.685396040666941,4.959795282337069,4.93874830321211,4.996685476955463,4.649708867326147,4.988446655882726,4.986778549074994
3.4849021873891703,3.9508621626518825,3.9973483356866,4.006947644388646,4.010632766982734,4.013813542348325,3.7065470611622313,4.000960158286366,4.006301470679254,3.6789628822759615,4.003702346763888,4.008093315798454
3.878812128196583,3.921380079727922,4.061245247393329,4.256111407492224,4.406144577052048,4.94003577844173,2.042552936572682,2.102787157632413,2.0690478248841915,2.188753186449736,2.0908061079858062,2.1209949781276123
