E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11
3.863387686544941,4.055546159564277,4.0640173267482425,4.042493211380307,4.108022941328905,4.324673408613859,4.845063970501514,4.985902363094205,4.997880276773187,4.575950017402955,4.981384066217278,4.97673990083563
4.040781669358975,4.124978579726228,4.061825348657953,4.044170938888385,4.132167094632125,4.353131494516832,4.863716987097347,4.99082214876888,4.998544345845318,4.701209030744252,4.988253928203257,4.980287813213254
4.0042564742842695,3.994237882671377,4.009703017598145,4.020970348908841,4.066687401900168,4.183046907194067,3.925140349214655,4.074305399642324,4.000802653729382,3.954428428856973,4.001053488961007,4.016631165026759
4.606243316101689,4.999260033844099,4.999600975604559,4.999356676869166,4.999519953491024,4.997422214147959,4.998668493383803,4.995289943661962,4.999524015893466,4.9894821299142285,4.998007164954314,4.997226340198427
4.070411577057625,4.151976482232339,4.072651739863274,4.060504237550091,4.132057548297498,4.295688882188138,4.876388792234326,4.988835318899602,4.998583444235974,4.773922185487653,4.987198570220323,4.978687786059951
3.863388676630664,4.055549976886368,4.064017845443195,4.042495561810848,4.108022881957834,4.324668226110376,4.845062282754558,4.985902152911425,4.9978803188167,4.575941467325309,4.981383396203684,4.976739488451509
4.040781669358975,4.124978579726228,4.061825348657953,4.044170938888385,4.132167094632125,4.353131494516832,4.863716987097347,4.99082214876888,4.998544345845318,4.701209030744252,4.988253928203257,4.980287813213254
4.0042564742842695,3.994237882671377,4.009703017598145,4.020970348908841,4.066687401900168,4.183046907194067,3.925140349214655,4.074305399642324,4.000802653729382,3.954428428856973,4.001053488961007,4.016631165026759
4.606243316101689,4.999260033844099,4.999600975604559,4.999356676869166,4.999519953491024,4.997422214147959,4.998668493383803,4.995289943661962,4.999524015893466,4.9894821299142285,4.998007164954314,4.997226340198427
4.070411577057625,4.151976482232339,4.072651739863274,4.060504237550091,4.132057548297498,4.295688882188138,4.876388792234326,4.988835318899602,4.998583444235974,4.773922185487653,4.987198570220323,4.978687786059951
