N0,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11
4.995763512203469,4.983185178282772,4.996850618874897,4.9965747123416735,4.998235402241582,4.998558938854694,3.998146196376632,3.9786660220961503,4.006750566215976,4.003730810205402,4.11703798793498,4.122083571573295
4.995344095277202,4.986443181155422,4.996899803701797,4.996544588290356,4.998286575978436,4.998516152120965,3.9981711932173503,3.98088930871513,4.005779151086856,4.004060786874466,4.111530568621896,4.110858914918303
4.348312406820135,4.487752903003286,4.997852906248945,4.994468106597112,4.997575902034559,4.99641123470971,4.180335839509992,4.155218232161179,4.365784300925813,4.0786070508516925,4.4895530505320025,4.359152869352625
4.994072315017826,4.938710704280539,4.997887665931441,4.996093420567689,4.995447225343954,4.997692828394895,4.996929596106952,4.996870995638296,4.993112088144031,4.99752961636174,4.996039602707423,4.9974454639927295
4.99548448211012,4.987256786196189,4.996891117503089,4.996536124845355,4.99822117572286,4.998419982685765,3.9985473267728593,3.9824744036789936,4.006358088932092,4.003980292053572,4.112367864211333,4.117766475071216
4.995763512203469,4.983185178282772,4.996850618874897,4.9965747123416735,4.998235402241582,4.998558938854694,3.998146196376632,3.9786660220961503,4.006750566215976,4.003730810205402,4.11703798793498,4.122083571573295
4.995344095277202,4.986443181155422,4.996899803701797,4.996544588290356,4.998286575978436,4.998516152120965,3.9981711932173503,3.98088930871513,4.005779151086856,4.004060786874466,4.111530568621896,4.110858914918303
4.348312406820135,4.487752903003286,4.997852906248945,4.994468106597112,4.997575902034559,4.99641123470971,4.180335839509992,4.155218232161179,4.365784300925813,4.0786070508516925,4.4895530505320025,4.359152869352625
4.994072315017826,4.938710704280539,4.997887665931441,4.996093420567689,4.995447225343954,4.997692828394895,4.996929596106952,4.996870995638296,4.993112088144031,4.99752961636174,4.996039602707423,4.9974454639927295
4.99548448211012,4.987256786196189,4.996891117503089,4.996536124845355,4.99822117572286,4.998419982685765,3.9985473267728593,3.9824744036789936,4.006358088932092,4.003980292053572,4.112367864211333,4.117766475071216
4.995763512203469,4.983185178282772,4.996850618874897,4.9965747123416735,4.998235402241582,4.998558938854694,3.998146196376632,3.9786660220961503,4.006750566215976,4.003730810205402,4.11703798793498,4.122083571573295
4.995344095277202,4.986443181155422,4.996899803701797,4.996544588290356,4.998286575978436,4.998516152120965,3.9981711932173503,3.98088930871513,4.005779151086856,4.004060786874466,4.111530568621896,4.110858914918303
4.348312406820135,4.487752903003286,4.997852906248945,4.994468106597112,4.997575902034559,4.99641123470971,4.180335839509992,4.155218232161179,4.365784300925813,4.0786070508516925,4.4895530505320025,4.359152869352625
4.994072315017826,4.938710704280539,4.997887665931441,4.996093420567689,4.995447225343954,4.997692828394895,4.996929596106952,4.996870995638296,4.993112088144031,4.99752961636174,4.996039602707423,4.9974454639927295
4.99548448211012,4.987256786196189,4.996891117503089,4.996536124845355,4.99822117572286,4.998419982685765,3.9985473267728593,3.9824744036789936,4.006358088932092,4.003980292053572,4.112367864211333,4.117766475071216
4.995763512203469,4.983185178282772,4.996850618874897,4.9965747123416735,4.998235402241582,4.998558938854694,3.998146196376632,3.9786660220961503,4.006750566215976,4.003730810205402,4.11703798793498,4.122083571573295
