N0,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11
4.998245726444493,4.988826342136321,4.998146724496161,4.996293699807736,4.997533977431708,4.998472862966063,4.15236081404307,4.008350911339571,4.112793282854852,4.008506839642193,4.093004645687184,4.157865364622728
4.9952804647871725,4.946522517990094,4.997044143260547,4.994912454500978,4.99347083044079,4.996940991889236,4.995632975696029,4.997343492309987,4.992111818219788,4.997821212741425,4.996767921779469,4.997348309121695
4.9973574697720125,4.979770243918964,4.998351058676727,4.996492335976361,4.997422623377614,4.9980271815341455,4.3675563787618366,4.072133584692122,4.058836257289824,4.016648017661008,4.083062584641498,4.344406927528075
4.38420079263483,4.510742008235658,4.994874189643144,4.989061448354018,4.996157207564282,4.9932913584293805,4.876705363691833,4.985169798284641,4.990035827507042,4.999385527435614,4.995661748425441,4.997737116793724
4.997373191156995,4.979642229578201,4.998328903600354,4.996265535715325,4.997465568300719,4.998114621015845,4.348314333263551,4.075981063897724,4.07301088812612,4.014331899221828,4.074025572502681,4.344918448775661
4.998283537800869,4.988672151114025,4.998298722704599,4.996506906810236,4.997732053979662,4.998366153786543,4.286766419510101,4.072644746193693,4.075085661036818,4.0170422999158815,4.094004291272507,4.343490194197825
4.99786212424828,4.977177038542737,4.997864660873962,4.996111045913948,4.996808953015754,4.99793769464113,4.142715613870951,4.09927240418905,4.08057356036068,4.017998689840054,4.083626128688095,4.432823944348071
4.997536817973826,4.975638284227949,4.998355450105757,4.996027207897106,4.9972578685468445,4.998083661738328,4.406143458890439,4.0720268669339,4.049120380443308,4.011858045954347,4.063021840537815,4.2600547198474095
4.065624650284594,4.344499531338389,4.650744150241808,4.992155640815686,4.997107491282773,4.972506432767078,4.951436594243262,4.988888158336756,4.987926291225024,4.999251055768375,4.995232742928673,4.997796065242968
2.3383923135950644,2.3438657508075345,3.76049126169842,4.953283782400088,4.975556055308648,4.524249712563423,4.296996283596052,4.494049195744898,4.6931934081088,4.215363169681752,4.060706735102791,4.167540457256768
4.17084315052046,4.417043199860259,4.995713709988701,4.991007503447137,4.99607102465106,4.991072321356946,4.83151254598116,4.98650486571962,4.987990523624647,4.999188258469054,4.995538276244865,4.997821371036945
4.997126774099829,4.740696879779956,4.9967375357186175,4.994519867113629,4.992201050646252,4.997352475255809,4.996906154335265,4.996683653303229,4.991559808589427,4.997857134921681,4.996902223944675,4.997313925611943
4.998378485884011,4.986567911777174,4.9985050473623,4.996781581264369,4.997630326849447,4.998506640427557,4.250688485207254,4.069052207641185,4.075363604544148,4.014452909531327,4.077433435022607,4.385308119820911
4.996083596863019,4.897676602654951,4.997445815618607,4.995289233163476,4.993745159742663,4.997468080260275,4.996388285265491,4.997029964139729,4.992592841456509,4.997917163434528,4.997280661114425,4.997672969012196
4.996758522874066,4.868820682205486,4.996476422506841,4.993696388063191,4.991850444867202,4.996670069671794,4.99526505670838,4.996262538858555,4.990987437046687,4.99756772591766,4.996981989603187,4.997245355771222
4.998385763885124,4.988318767080808,4.998414482428007,4.9964241839284576,4.99783733990728,4.998591125113329,4.20684020901036,4.0214748938822815,4.234802152774417,4.009966235284219,4.087211772160687,4.139519111567749
4.225150427762788,4.561690785427863,4.995037110976578,4.990844861321827,4.996546385998605,4.99452497779208,4.941377074024869,4.987872534874658,4.9935681751311245,4.999417561270064,4.994769506395574,4.997859187386675
4.17792576008743,4.500676557104246,4.99494746424409,4.989871300597379,4.995599959252655,4.9947391949024285,4.925978125053588,4.988686872410183,4.992215481012737,4.9994725495036505,4.997365301860323,4.997783957903005
4.9962195960643525,4.835253882462069,4.996913715602362,4.993878616696811,4.992529396579523,4.997092718243906,4.996889897553946,4.996447163153771,4.990239332067351,4.997018932342932,4.99583986241439,4.997110405933415
4.997298935381394,4.926690645772252,4.99692052054701,4.994711964203494,4.992167509170922,4.997740458641495,4.995606877953128,4.997554365364085,4.99233253001165,4.997518707789811,4.996395427482109,4.997556261401543
4.99741016813965,4.887991051178854,4.997630138707195,4.994122556636296,4.991983046900328,4.997809894728722,4.997242902144655,4.997336151549732,4.992655723766124,4.998458628491916,4.997292325389957,4.9978146829197865
2.0486574447921497,2.0628668900169944,2.906098485069781,2.08298235333105,2.12102824107918,2.1660752832795342,4.318937274798067,4.335757728583287,4.257646999962475,4.146361810500534,4.640834269095436,4.976575526220413
4.99825827132235,4.984984970583163,4.998450812333406,4.9964234126103655,4.997632731113946,4.998308395817995,4.51878449247418,4.993941249813716,4.991634947093942,4.999256021499308,4.995367352054847,4.998971435772274
