A0,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11
4.453362375568246,4.006268442836473,4.026101574554517,4.008968740251835,3.9939255309079607,4.014928014507283,4.973078521862864,4.999253841260604,4.9989883280997045,4.999395182705174,4.998862491089118,4.998723316748396
4.424369421633194,4.005427473278913,4.0246906248878025,4.012294708430844,3.9952086140865553,4.016760555144172,4.979279534026862,4.999318176407867,4.999156889886219,4.999411615460401,4.998923915226988,4.998781308730243
4.60392952930452,4.994940372992022,4.998988188461266,4.998850772285998,4.997174359809277,4.982346334902437,3.954040149384724,3.9933184306020135,3.995596979323188,4.003487024727239,4.010543486574125,4.17794320119095
4.993759890722635,4.998856881148809,4.998533030767636,4.999161911030521,4.994755761270037,4.994797805171149,4.99880150739946,4.998201272718322,4.997704131499681,4.998569574592628,4.996546325517849,4.996759721872586
4.479796156735938,4.0055781088591385,4.028657836328843,4.013798253374615,3.994914232548346,4.021099938059072,4.974259328714614,4.999176446172056,4.998994909554599,4.999385478326868,4.99888771643205,4.998730805994267
4.453362375568246,4.006268442836473,4.026101574554517,4.008968740251835,3.9939255309079607,4.014928014507283,4.973078521862864,4.999253841260604,4.9989883280997045,4.999395182705174,4.998862491089118,4.998723316748396
4.424369421633194,4.005427473278913,4.0246906248878025,4.012294708430844,3.9952086140865553,4.016760555144172,4.979279534026862,4.999318176407867,4.999156889886219,4.999411615460401,4.998923915226988,4.998781308730243
4.60392952930452,4.994940372992022,4.998988188461266,4.998850772285998,4.997174359809277,4.982346334902437,3.954040149384724,3.9933184306020135,3.995596979323188,4.003487024727239,4.010543486574125,4.17794320119095
4.993759890722635,4.998856881148809,4.998533030767636,4.999161911030521,4.994755761270037,4.994797805171149,4.99880150739946,4.998201272718322,4.997704131499681,4.998569574592628,4.996546325517849,4.996759721872586
4.479796156735938,4.0055781088591385,4.028657836328843,4.013798253374615,3.994914232548346,4.021099938059072,4.974259328714614,4.999176446172056,4.998994909554599,4.999385478326868,4.99888771643205,4.998730805994267
4.453362375568246,4.006268442836473,4.026101574554517,4.008968740251835,3.9939255309079607,4.014928014507283,4.973078521862864,4.999253841260604,4.9989883280997045,4.999395182705174,4.998862491089118,4.998723316748396
4.424369421633194,4.005427473278913,4.0246906248878025,4.012294708430844,3.9952086140865553,4.016760555144172,4.979279534026862,4.999318176407867,4.999156889886219,4.999411615460401,4.998923915226988,4.998781308730243
4.60392952930452,4.994940372992022,4.998988188461266,4.998850772285998,4.997174359809277,4.982346334902437,3.954040149384724,3.9933184306020135,3.995596979323188,4.003487024727239,4.010543486574125,4.17794320119095
4.993759890722635,4.998856881148809,4.998533030767636,4.999161911030521,4.994755761270037,4.994797805171149,4.99880150739946,4.998201272718322,4.997704131499681,4.998569574592628,4.996546325517849,4.996759721872586
4.479796156735938,4.0055781088591385,4.028657836328843,4.013798253374615,3.994914232548346,4.021099938059072,4.974259328714614,4.999176446172056,4.998994909554599,4.999385478326868,4.99888771643205,4.998730805994267
4.453362375568246,4.006268442836473,4.026101574554517,4.008968740251835,3.9939255309079607,4.014928014507283,4.973078521862864,4.999253841260604,4.9989883280997045,4.999395182705174,4.998862491089118,4.998723316748396
4.424369421633194,4.005427473278913,4.0246906248878025,4.012294708430844,3.9952086140865553,4.016760555144172,4.979279534026862,4.999318176407867,4.999156889886219,4.999411615460401,4.998923915226988,4.998781308730243
4.60392952930452,4.994940372992022,4.998988188461266,4.998850772285998,4.997174359809277,4.982346334902437,3.954040149384724,3.9933184306020135,3.995596979323188,4.003487024727239,4.010543486574125,4.17794320119095
4.993759890722635,4.998856881148809,4.998533030767636,4.999161911030521,4.994755761270037,4.994797805171149,4.99880150739946,4.998201272718322,4.997704131499681,4.998569574592628,4.996546325517849,4.996759721872586
4.479796156735938,4.0055781088591385,4.028657836328843,4.013798253374615,3.994914232548346,4.021099938059072,4.974259328714614,4.999176446172056,4.998994909554599,4.999385478326868,4.99888771643205,4.998730805994267
4.453362375568246,4.006268442836473,4.026101574554517,4.008968740251835,3.9939255309079607,4.014928014507283,4.973078521862864,4.999253841260604,4.9989883280997045,4.999395182705174,4.998862491089118,4.998723316748396
4.424369421633194,4.005427473278913,4.0246906248878025,4.012294708430844,3.9952086140865553,4.016760555144172,4.979279534026862,4.999318176407867,4.999156889886219,4.999411615460401,4.998923915226988,4.998781308730243
4.60392952930452,4.994940372992022,4.998988188461266,4.998850772285998,4.997174359809277,4.982346334902437,3.954040149384724,3.9933184306020135,3.995596979323188,4.003487024727239,4.010543486574125,4.17794320119095
4.993759890722635,4.998856881148809,4.998533030767636,4.999161911030521,4.994755761270037,4.994797805171149,4.99880150739946,4.998201272718322,4.997704131499681,4.998569574592628,4.996546325517849,4.996759721872586
4.479796156735938,4.0055781088591385,4.028657836328843,4.013798253374615,3.994914232548346,4.021099938059072,4.974259328714614,4.999176446172056,4.998994909554599,4.999385478326868,4.99888771643205,4.998730805994267
4.453362375568246,4.006268442836473,4.026101574554517,4.008968740251835,3.9939255309079607,4.014928014507283,4.973078521862864,4.999253841260604,4.9989883280997045,4.999395182705174,4.998862491089118,4.998723316748396
4.424369421633194,4.005427473278913,4.0246906248878025,4.012294708430844,3.9952086140865553,4.016760555144172,4.979279534026862,4.999318176407867,4.999156889886219,4.999411615460401,4.998923915226988,4.998781308730243
4.60392952930452,4.994940372992022,4.998988188461266,4.998850772285998,4.997174359809277,4.982346334902437,3.954040149384724,3.9933184306020135,3.995596979323188,4.003487024727239,4.010543486574125,4.17794320119095
4.993759890722635,4.998856881148809,4.998533030767636,4.999161911030521,4.994755761270037,4.994797805171149,4.99880150739946,4.998201272718322,4.997704131499681,4.998569574592628,4.996546325517849,4.996759721872586
4.479796156735938,4.0055781088591385,4.028657836328843,4.013798253374615,3.994914232548346,4.021099938059072,4.974259328714614,4.999176446172056,4.998994909554599,4.999385478326868,4.99888771643205,4.998730805994267
4.453362375568246,4.006268442836473,4.026101574554517,4.008968740251835,3.9939255309079607,4.014928014507283,4.973078521862864,4.999253841260604,4.9989883280997045,4.999395182705174,4.998862491089118,4.998723316748396
4.424369421633194,4.005427473278913,4.0246906248878025,4.012294708430844,3.9952086140865553,4.016760555144172,4.979279534026862,4.999318176407867,4.999156889886219,4.999411615460401,4.998923915226988,4.998781308730243
4.60392952930452,4.994940372992022,4.998988188461266,4.998850772285998,4.997174359809277,4.982346334902437,3.954040149384724,3.9933184306020135,3.995596979323188,4.003487024727239,4.010543486574125,4.17794320119095
4.993759890722635,4.998856881148809,4.998533030767636,4.999161911030521,4.994755761270037,4.994797805171149,4.99880150739946,4.998201272718322,4.997704131499681,4.998569574592628,4.996546325517849,4.996759721872586
